uid,latitude,longitude,date,cyanobacteria_density
aedy,37.6756,-121.264,2016-10-18,2585.039995
aeea,34.73,-77.44,2021-07-20,4.034
aefb,36.03,-78.68256753,2020-06-01,160.332
aeib,35.70435191,-79.16663621,2014-08-13,33.112
aeid,39.16522,-96.91105,2016-09-26,389.34
aejc,42.021242,-78.95833,2017-10-04,10.45189394
aekm,35.65436,-79.01216056,2016-08-24,2.905
aelv,35.79,-79.03326356,2020-06-10,41.955
aemv,39.3092,-121.595,2014-11-18,6065.0
aepe,36.35,-79.11398911,2019-11-20,460.856
aepl,35.6465182,-79.27405606,2018-08-09,20.206
aeqh,37.6756,-121.264,2016-11-14,1864.626663
aetj,35.91318977,-79.18341968,2014-06-10,4.784
aeud,34.73,-76.73,2019-01-16,0.218
aeuj,36.00756,-78.97114786,2013-08-12,58.962
aeus,37.9893,-121.463,2020-03-17,1722.4535
aexi,35.71124511,-79.15383283,2016-09-15,61.359
aexm,34.4395,-119.854,2019-05-22,3635.0
aeyg,34.9454,-120.417,2016-04-20,455.05
aeyz,35.6296711,-79.30534771,2016-06-21,49.377
aezm,35.5621,-119.151,2017-02-01,1234.5
afas,35.63565941,-79.29422509,2017-09-20,28.446
afbi,38.84259,-85.82827,2017-08-10,3355.27
afbl,35.67826952,-79.21508142,2018-08-09,1.682
afcm,41.99847,-78.95185,2019-08-19,5688.667
afef,42.516667,-79.893333,2018-04-08,1.589790419
afeh,35.51,-79.04122242,2021-08-02,19.087
afek,41.992305,-78.929219,2019-09-24,8.393428023
afel,37.8189,-121.358,2019-07-16,2836.1765
affc,35.98,-78.79640887,2018-10-25,29.157
afgc,37.3978,-120.96,2014-12-03,634.7825
afgk,47.62155,-89.463167,2016-04-17,0.163905057
afgy,35.70629478,-79.16302753,2016-05-25,5.228
afhn,35.67137631,-79.2278848,2015-04-22,0.399
afhu,35.98,-78.82921903,2020-11-17,250.082
afhv,35.87017629,-78.83916151,2018-02-21,3.268
afhy,34.9454,-120.417,2019-05-21,4492.5
afip,35.68758466,-79.19777956,2021-04-28,0.968
afiq,35.70038632,-79.17400186,2013-07-30,6.535
afix,38.9695,-94.7582,2021-10-11,200.722
afjc,35.7228225,-79.13232909,2013-05-16,7.745
afje,41.80086,-73.24929,2020-08-25,6.5286
afjf,36.055,-78.763,2013-01-14,22.385
afjv,34.446,-119.876,2018-09-25,852.5
afke,41.3326,-75.88683,2021-08-19,234.667
aflh,43.596667,-78.801667,2014-04-25,0.216766288
afnd,35.976,-78.74893355,2015-09-22,3.227
afos,35.8639339,-78.78920057,2015-03-24,1.598
afpq,36.7254,-121.73,2019-01-18,5065.0
afpw,36.6291,-121.688,2018-04-25,4142.5
afsc,36.01,-78.96294531,2018-08-22,3.646
afsi,35.86256741,-78.77826385,2014-06-23,47.842
afuh,39.20984,-96.96101,2013-09-03,18.837
afum,35.70565603,-79.16421395,2016-08-10,1.815
afvi,35.66216763,-79.24498893,2019-09-04,4.383
afvu,36.055,-78.763,2014-04-22,4.35
afwi,38.2104,-121.262,2017-02-28,4265.78
afyc,38.1688,-121.47,2021-08-11,4335.0
afzm,35.69559568,-79.18289996,2015-12-07,4.212
agbg,36.9425,-121.445,2021-09-28,3032.5
agbl,36.17,-79.05555825,2020-06-23,32.082
agca,36.31,-79.11537326,2020-06-01,20.949
agcl,40.48477,-78.27506,2021-11-08,64.667
agcm,36.02,-76.31,2017-07-19,533.858
agdh,37.6667,-120.898,2018-11-07,6037.316
agdv,35.1117,-118.615,2015-09-15,2182.0
agem,35.63911932,-79.28779868,2014-11-25,73.126
aggt,42.416667,-79.8,2016-08-12,15.79007713
aggu,43.516667,-79.08,2016-04-08,0.108307139
aggy,41.33056393,-85.38360833,2021-08-17,121.344
aghh,41.95,-82.686667,2016-04-04,8.292752191
aghm,35.6677301,-79.23465724,2016-09-20,5.474
agim,35.742,-79.20355319,2015-05-20,0.264
agis,47.47517,-88.00176,2017-07-18,198.319
agix,35.68225,-79.07802,2014-10-08,487.965
agjr,35.6992685,-79.17607808,2014-04-14,9.604
agku,47.370167,-90.851833,2016-04-18,0.560454116
aglm,38.785,-121.653,2014-08-19,5935.0
agmv,36.1856,-104.8038,2016-05-03,3.315384043
agpk,35.72295557,-79.13208192,2018-08-27,0.484
agqj,42.733333,-87.416667,2019-04-03,0.636345159
agqw,36.045,-79.09164499,2013-06-27,6.406
agrt,36.11,-78.90602465,2018-08-27,3.256
agsx,36.03,-78.72,2019-03-20,8.751
agto,35.61133,-78.97810759,2016-07-22,1.452
agtu,35.68836,-78.6997183,2016-08-31,119.232
aguh,38.51613412,-95.70697032,2016-07-18,714.42
agvj,41.702596,-85.022696,2020-07-06,142.582
agwh,35.65913356,-79.25062439,2021-05-24,0.871
agwi,34.53937,-92.27375,2017-06-07,139.6378
agxc,35.98,-78.8326989,2021-04-20,8.84
agxe,36.028,-78.716,2013-02-27,22.301
agxq,40.954436,-81.12694,2020-10-07,0.237368421
ahcm,42.027378,-78.967089,2019-10-25,96.555
ahdy,33.4742,-117.138,2016-05-18,1922.25
ahek,41.493,-71.979,2019-08-01,86.346
aheu,35.71499778,-79.14686265,2016-07-27,10.435
ahez,35.86700851,-78.8138082,2016-06-07,18.958
ahfv,38.76050002,-75.20283333,2020-11-11,11.25
ahgg,35.48,-76.82,2018-05-03,7.552
ahgi,38.99841,-95.747367,2018-07-02,526.05
ahgo,36.35,-79.11384081,2019-11-20,14.523
ahgu,41.707665,-73.382964,2017-08-17,56.862
ahhm,39.264159,-79.951664,2017-07-25,0.15839719
ahhw,37.2583,-120.475,2017-08-15,5757.257
ahjj,35.88377911,-78.9480316,2017-05-17,3.485
ahkg,35.8968229,-79.05242758,2015-10-12,67.773
ahnr,35.6630193,-79.24340704,2019-05-16,8.64
ahpj,35.90567405,-79.12326771,2019-11-14,58.091
ahpn,37.8817,-121.249,2018-07-17,5174.3435
ahrn,35.68332631,-79.20568898,2015-10-12,11.171
ahse,43.056389,-86.646389,2014-04-18,0.419322575
ahsh,35.63108168,-79.30272772,2015-07-07,59.872
ahsi,39.21155,-97.00559,2016-08-01,1400.175
ahsm,36.17911,-79.05363033,2013-05-30,21.114
ahst,35.48,-76.82,2018-11-29,214.453
ahta,36.17,-79.05595372,2020-08-25,11.672
ahtt,39.1853,-121.704,2014-07-16,7344.0
ahuv,40.72010333,-85.1058325,2021-06-21,1.104
ahvc,35.62908558,-79.30643526,2015-01-27,1.78
ahvi,35.6809576,-79.2100886,2017-02-14,0.581
ahwi,37.4125,-120.759,2013-04-02,1940.639
ahwu,34.4168,-119.544,2021-01-28,6275.0
ahwv,35.64607,-79.02657715,2016-07-13,34.855
ahxa,41.497974,-80.458755,2016-08-24,22.04552573
ahya,33.2549,-117.295,2013-02-09,3739.25
ahys,35.976,-78.72010038,2013-11-12,1.037
ahyx,36.0397,-106.8478,2014-09-22,4.815526362
aiap,35.67568789,-79.21987651,2020-01-09,29.225
aiby,38.78199034,-85.69828611,2021-08-24,688.974
aicl,35.65120238,-79.26535569,2016-01-27,0.908
aidb,35.64477,-80.254,2016-06-08,298.316
aids,32.8397,-117.024,2014-05-08,3177.0
aidy,37.2953,-120.85,2017-08-08,5042.5
aiga,45.136667,-82.983333,2016-03-29,0.177033734
aigc,35.68327308,-79.20578785,2015-11-12,5.809
aihm,36.9767,-121.51,2018-04-23,6190.0
aihx,35.86958621,-78.83443883,2017-09-20,14.523
aiii,40.32301,-79.47356,2021-08-25,156.0
aiiw,38.70408332,-75.07568333,2019-07-24,53.79999924
aiix,35.86477243,-78.79591174,2015-07-07,1.291
aijb,35.87853053,-78.90602465,2015-05-06,7.745
aijp,43.133333,-87.0,2017-03-27,0.272476143
aika,37.6003,-121.224,2019-08-13,6277.5
aimy,34.4384,-119.906,2020-04-22,5380.0
ainj,35.70876995,-79.15843018,2021-06-15,1.343
aipr,41.309434,-80.461686,2015-08-05,195.3746094
aipy,38.3068,-121.693,2019-12-04,5017.5
aiqi,34.941,-79.10232271,2016-08-16,116.182
aiqq,35.85853004,-78.74595081,2018-08-09,37.759
aisa,37.2583,-120.475,2016-04-12,6320.6315
aivu,38.31806,-96.99139,2017-08-28,287.28
aiwo,33.0426,-117.076,2015-01-08,4107.5
aiwq,41.890646,-78.925275,2017-06-15,1.326470588
aiwt,35.69921527,-79.17617695,2014-05-05,11.366
aixa,37.7705,-121.292,2019-02-05,4337.423
aixq,35.12,-78.72706011,2019-08-12,4.575
aiyp,35.794,-79.004,2013-10-17,342.011
aize,38.259,-121.668,2019-02-05,1338.66
ajbb,36.045,-79.09169443,2013-06-27,2.89
ajea,35.88259895,-78.93858625,2016-10-18,30.498
ajev,48.2295,-88.5455,2016-08-25,14.46323678
ajfd,35.87176018,-78.85183816,2019-01-15,0.218
ajfp,43.88,-76.9994,2018-08-15,7.473192593
ajft,34.4384,-119.906,2018-01-11,5257.5
ajfv,38.28046862,-94.7337782,2018-09-17,1042.65
ajfx,35.86017604,-78.75912459,2013-06-27,10.775
ajgg,34.40442,-111.0025,2017-09-26,36.885
ajim,35.67,-79.04888467,2020-05-14,76.087
ajjj,37.2141,-120.561,2014-04-08,5509.763
ajkf,39.88423,-76.37506,2017-08-30,0.667
ajkz,35.95,-76.61,2020-07-28,82.87
ajlw,35.8732509,-78.86376913,2019-10-17,0.726
ajmc,39.07775,-96.9059,2015-09-08,5.985
ajme,37.61429993,-97.62981051,2016-08-08,259.56
ajnn,35.67220137,-79.22635235,2014-08-25,51.452
ajoh,38.0739,-121.212,2017-02-28,5047.34
ajqf,34.9552,-120.487,2021-10-04,140.75
ajqv,41.56467,-79.9455,2019-08-22,242.6
ajru,39.474744,-86.898353,2021-06-14,551.346
ajrw,36.12,-78.91199013,2018-05-21,3.631
ajsm,35.67385148,-79.22328745,2020-12-10,2.49
ajsq,35.976,-78.72233743,2014-01-14,26.359
ajuc,32.04667,-96.75054,2017-09-13,459.65
ajuj,42.733333,-87.0,2013-03-28,0.347634172
ajvc,34.9552,-120.487,2021-01-29,2675.0
ajvk,38.0601,-121.499,2013-08-20,1699.658
ajvu,35.794,-79.004,2013-09-18,172.182
ajwh,35.70195659,-79.17108526,2019-07-02,0.363
ajxf,39.82640667,-95.52873464,2017-10-30,107.1
ajzm,48.72519,-116.1086,2017-08-03,166.261
akao,35.4265,-118.832,2019-10-15,4837.5
akba,38.2361,-121.419,2015-09-23,2643.21325
akbi,35.91322082,-79.18366825,2014-06-10,0.171
akbk,38.51613412,-95.70697032,2017-10-02,405.405
akbz,42.038186,-78.908886,2014-08-14,24.59178686
akcy,41.868925,-73.0977,2018-09-27,9.477
akgs,47.606167,-86.818833,2019-08-25,0.664816748
akgu,35.2,-79.10518988,2018-08-13,0.376
akhe,39.309992,-80.034025,2017-07-26,0.739812925
akjw,41.702596,-85.022696,2017-07-17,47.858
akka,36.33,-79.11591703,2020-06-24,12.102
aklk,35.79,-79.02841904,2019-02-19,4.357
aknj,35.33794,-79.04547374,2015-07-21,6.708
akpm,35.85846793,-78.74545369,2015-11-12,0.508
akqd,44.736667,-86.721667,2017-03-28,0.261582442
akqj,36.17,-79.05516278,2020-05-27,24.608
akqp,36.532781,-105.236671,2015-04-09,18.99394213
akrh,35.86160465,-78.77055843,2013-12-05,4.195
akst,36.346,-79.1128027,2019-06-13,5.164
aksu,37.9495,-121.182,2019-05-21,3682.8665
akvu,35.68556194,-79.20153654,2015-01-27,13.942
akwt,39.74693889,-87.07598056,2019-08-19,754.742
akww,37.5582,-121.164,2015-03-10,6016.666667
akxc,35.88868606,-78.98730438,2019-09-14,477.073
akxm,35.036,-79.11888307,2021-08-16,52.81
akzy,37.6003,-121.224,2018-05-08,4632.5
albx,37.6173,-122.074,2017-07-13,5480.0
aldv,35.74,-79.02,2019-04-10,83.924
aler,42.081667,-81.011667,2019-08-10,6.922536296
alez,42.416667,-79.8,2013-08-11,7.860324409
alfc,40.968788,-81.119867,2017-06-27,43.82444444
alfh,45.75,-83.916667,2013-03-29,0.343879238
algg,39.74826,-78.67698,2020-09-14,0.0
algi,35.02,-83.79,2019-08-22,5.01
algu,41.285686,-80.361664,2016-07-20,3.3825
alhz,35.48,-76.82,2017-03-07,3.631
alif,38.3677,-121.521,2016-10-18,2714.206663
aliv,38.37080661,-98.79520846,2017-10-16,693.315
aljj,40.3155,-96.9964,2017-09-20,971.58
aljv,39.21155,-97.00559,2021-10-11,159.003
aljz,35.67228121,-79.22620405,2014-08-25,28.448
allm,34.85,-78.83,2019-06-27,7.138
almt,41.843527,-78.957332,2013-08-20,4.850377358
alpb,38.36472,-97.10194,2017-07-17,99.855
alpl,35.64404303,-79.27865341,2019-10-17,5.532
alqd,38.70782502,-75.08086667,2018-08-01,13.5
alqp,37.4419,-121.003,2018-06-12,1155.8225
alqs,39.21067,-96.97298,2016-08-15,722.295
alrk,33.513,-117.269,2016-01-21,5504.0
alsf,35.68915492,-79.19486296,2020-03-11,1.367
altb,36.15,-79.1069695,2020-09-23,88.952
alvh,36.7025,-121.709,2013-12-11,7052.5
alvv,35.794,-79.01630774,2015-09-24,448.391
alwg,38.2104,-121.262,2017-05-16,4383.014
alwh,36.04,-76.61,2021-09-30,0.363
alwn,35.72242328,-79.13307059,2013-09-19,0.29
alwp,44.87302,-93.556776,2013-08-19,0.61
alxm,37.6106,-121.229,2014-08-12,5702.5
alxr,35.72378063,-79.13054947,2013-06-19,6.172
alxv,35.976,-78.70966078,2013-03-20,17.427
alyc,35.84,-79.06114428,2020-09-09,15.56
alyf,38.307,-121.794,2015-05-19,7813.333333
amai,35.68484334,-79.20287125,2015-05-20,0.764
amak,38.307,-121.794,2019-07-16,7165.0
amap,35.68870247,-79.19570334,2020-06-10,40.664
amat,36.9893,-121.533,2018-04-23,7230.0
ambi,42.516667,-79.893333,2014-08-15,4.840795165
amcm,35.63366331,-79.29793263,2015-09-09,8.348
amcu,35.6771517,-79.21715765,2019-05-16,164.107
amfl,35.86030027,-78.76011884,2013-07-10,31.686
amgv,42.027378,-78.967089,2014-10-27,1.2375
amjb,48.17831,-91.98468,2017-08-24,158.627
amjd,35.63169382,-79.30159074,2015-03-24,13.649
amjh,41.977778,-81.756944,2015-08-11,46.6596927
amjn,41.995,-82.45,2019-04-28,0.726140171
amks,38.9725,-94.67293,2021-10-25,359.201
amkz,35.68926138,-79.19466523,2020-01-09,1.598
amma,39.1766,-122.189,2017-12-27,6722.5
ammk,36.17,-79.05214731,2018-06-28,71.824
ammz,33.4779,-117.142,2017-05-17,4038.75
amol,35.742,-79.23387774,2016-07-19,214.066
amos,36.7085,-121.749,2021-04-29,3715.0
amow,35.64607,-79.02309728,2016-06-08,3.631
amqv,43.89,-82.056667,2014-04-22,0.280238564
amrx,38.2104,-121.262,2016-02-18,2725.4555
amsp,44.868638,-93.524033,2013-07-22,0.78
amtf,36.00756,-78.96642518,2013-06-11,24.398
amtr,34.41,-78.3,2019-05-20,1.19
amuf,35.6673575,-79.23534932,2016-11-21,32.346
amuw,38.06284,-100.05499,2013-06-10,1.197
amwf,47.62155,-89.463167,2015-08-28,1.810866295
amwp,35.72186437,-79.13410871,2014-07-08,17.427
amww,35.68202219,-79.20811124,2016-07-19,281.016
amwx,35.64607,-79.01961742,2016-05-25,3.74
amxb,39.263048,-80.00583,2017-07-25,0.309863763
amyy,35.67129647,-79.2280331,2015-04-22,10.005
amzo,48.0825,-89.252383,2015-05-10,0.193318515
anbo,35.742,-79.20579025,2015-06-10,69.709
andt,41.840964,-79.009164,2015-09-29,1.247209877
anei,47.35085,-121.9925,2017-09-07,29.598
anfv,35.74,-79.02,2017-11-15,1404.354
angt,35.7197352,-79.13806342,2013-07-22,1.452
anjy,42.253333,-81.106667,2016-08-12,27.51839809
anke,37.4341,-122.218,2015-07-07,4950.0
anlm,35.64721018,-79.27277078,2018-03-22,6.703
anlo,43.58,-77.2,2018-08-15,23.63220316
anlp,36.1606,-79.0982197,2015-07-27,0.401
anmf,34.73475,-77.44025,2015-09-14,81.328
anmy,42.383333,-87.0,2019-04-04,0.163816064
annu,35.61,-78.95548846,2018-08-28,32.2
anra,43.89,-82.056667,2015-08-09,5.878263798
anrk,35.72229021,-79.13331776,2018-05-21,0.145
anrt,35.794,-79.01126548,2014-10-08,494.743
antr,36.03,-78.69400138,2021-04-20,0.29
anuc,37.5582,-121.164,2017-08-08,5410.0
anuf,39.03917524,-95.69083603,2019-09-30,256.095
anuh,35.67294658,-79.2249682,2021-08-05,40.083
anvc,36.045,-79.09248537,2013-09-25,63.988
anvh,37.0062,-120.6,2021-03-19,4315.0
anvn,34.9354,-120.356,2017-01-09,5757.5
anvp,37.2616,-120.906,2020-07-14,4885.0
anwq,35.86983466,-78.83642733,2017-11-15,14.232
anwv,36.3,-80.04,2019-09-30,14.414
anxo,36.54,-79.0656922,2019-09-19,0.581
anxr,45.41361,-84.80677,2017-07-24,38.613
anyq,35.65253312,-79.262884,2015-07-07,2.582
anzf,36.177,-79.05412467,2013-07-31,45.021
aoab,47.606167,-86.818833,2017-04-17,0.278107337
aobs,37.9792,-121.57,2016-12-16,1614.989
aobu,37.1145,-120.89,2016-05-10,6977.5
aoce,36.16894,-79.07112993,2013-09-05,191.701
aoco,35.67467653,-79.221755,2020-07-15,1.053
aocw,39.07775,-96.9059,2016-08-08,161.91
aofk,35.87809574,-78.90254478,2015-03-24,1.634
aogc,35.91505317,-79.1983334,2015-01-27,1.017
aogk,41.70051,-80.10148,2020-07-29,109.2
aogm,40.11461,-75.8596,2019-08-15,0.0
aogy,35.0228,-120.586,2013-09-17,4527.5
aogz,47.370167,-90.851833,2019-05-04,0.319158883
aohi,35.64702388,-79.27311681,2018-04-11,21.087
aohj,40.38382,-76.0402,2019-08-05,1733.333
aohs,36.055,-78.763,2014-12-10,49.861
aoit,35.67097709,-79.22862631,2015-05-20,0.137
aojn,35.72013442,-79.13732191,2013-05-22,0.508
aojo,39.21067,-96.97298,2015-08-03,1322.37
aojs,35.71861738,-79.14013964,2019-06-01,724.203
aoko,36.03,-78.68753877,2020-09-16,0.581
aolc,35.90905923,-79.15036096,2021-07-12,605.116
aold,36.14,-76.75,2019-09-12,57.294
aolg,41.69417,-80.08583,2020-08-31,713.133
aoln,35.65040394,-79.26683871,2016-05-24,77.939
aomf,38.307,-121.794,2014-02-10,7292.5
aony,35.87207074,-78.85432378,2019-05-16,50.048
aoom,29.84254,-96.76571,2017-09-20,1052.55
aoon,35.89570486,-79.04347936,2015-07-07,42.116
aopf,35.68825002,-79.19654371,2020-09-24,1.355
aopl,35.66517509,-79.2394029,2017-12-06,12.522
aoqa,37.65556,-98.26099,2017-06-14,3101.0
aoqj,38.4571,-122.631,2014-03-26,5640.0
aoqv,39.79219,-99.97105,2016-06-13,2137.905
aosf,34.9354,-120.356,2014-02-28,5015.0
aosm,35.88694689,-78.97338491,2018-12-06,2.541
aosw,42.253333,-81.106667,2019-04-22,0.105564612
aoth,35.64790216,-79.2714855,2017-10-18,1.138
aotx,35.91300343,-79.18192831,2014-04-14,59.507
aowb,35.69288098,-79.18794222,2017-07-20,60.35
aoxm,41.512172,-73.476168,2017-08-17,1.4742
aozh,35.868375,-78.82474492,2017-01-24,2.905
aozi,35.65436,-79.01340337,2016-08-31,108.437
aozp,35.86694639,-78.81331107,2016-06-07,7.85
aozr,38.48312168,-75.12969166,2020-10-13,124.4499969
apak,35.9138109,-79.18839092,2014-07-16,28.319
apbg,36.39,-78.85705796,2019-08-28,82.252
apbq,35.63555295,-79.29442282,2017-10-18,47.125
apcu,37.2639,-120.906,2020-08-17,5745.0
apdc,38.1602,-121.206,2015-03-17,947.4065
apdg,41.1883,-123.7055,2018-08-22,0.65
apec,37.3294,-122.086,2019-06-03,5529.302
aped,36.8754,-121.561,2020-04-28,5120.0
apej,35.721199,-79.13534455,2018-06-25,11.618
apiz,35.71896337,-79.139497,2018-07-16,0.145
aplj,35.64607,-79.02284872,2016-06-08,1.525
apms,40.11372,-79.52797,2021-08-30,1600.0
apnm,35.71741972,-79.14236417,2019-06-01,0.376
